Estacao,Data,Hora,Precipitacao
83781,01/01/2020,1200,0.1
83781,02/01/2020,1200,21.8
83781,03/01/2020,1200,28.2
83781,04/01/2020,1200,0
83781,05/01/2020,1200,15.9
83781,06/01/2020,1200,18.8
83781,07/01/2020,1200,0
83781,08/01/2020,1200,14.7
83781,09/01/2020,1200,60.2
83781,10/01/2020,1200,1.4
83781,11/01/2020,1200,0
83781,12/01/2020,1200,0
83781,13/01/2020,1200,17.1
83781,14/01/2020,1200,0
83781,15/01/2020,1200,0
83781,16/01/2020,1200,0
83781,17/01/2020,1200,82.5
83781,18/01/2020,1200,4.2
83781,19/01/2020,1200,0
83781,20/01/2020,1200,0
83781,21/01/2020,1200,0
83781,22/01/2020,1200,0
83781,23/01/2020,1200,2.3
83781,24/01/2020,1200,3.2
83781,25/01/2020,1200,1.3
83781,26/01/2020,1200,0
83781,27/01/2020,1200,0
83781,28/01/2020,1200,0
83781,29/01/2020,1200,10.2
83781,30/01/2020,1200,0
83781,31/01/2020,1200,5.5
83781,01/02/2020,1200,3.3
83781,02/02/2020,1200,59
83781,03/02/2020,1200,67.4
83781,04/02/2020,1200,16.7
83781,05/02/2020,1200,0
83781,06/02/2020,1200,13.2
83781,07/02/2020,1200,26
83781,08/02/2020,1200,0
83781,09/02/2020,1200,0
83781,10/02/2020,1200,123
83781,11/02/2020,1200,43
83781,12/02/2020,1200,0.2
83781,13/02/2020,1200,0.5
83781,14/02/2020,1200,3.4
83781,15/02/2020,1200,0
83781,16/02/2020,1200,0
83781,17/02/2020,1200,6.8
83781,18/02/2020,1200,12.6
83781,19/02/2020,1200,21
83781,20/02/2020,1200,3.6
83781,21/02/2020,1200,2
83781,22/02/2020,1200,3.4
83781,23/02/2020,1200,0.3
83781,24/02/2020,1200,0
83781,25/02/2020,1200,19.4
83781,26/02/2020,1200,24.2
83781,27/02/2020,1200,43.6
83781,28/02/2020,1200,0
83781,29/02/2020,1200,13.1
83781,01/03/2020,1200,0.2
83781,02/03/2020,1200,1
83781,03/03/2020,1200,27.6
83781,04/03/2020,1200,0.3
83781,05/03/2020,1200,0
83781,06/03/2020,1200,0
83781,07/03/2020,1200,0
83781,08/03/2020,1200,0
83781,09/03/2020,1200,1
83781,10/03/2020,1200,0
83781,11/03/2020,1200,0
83781,12/03/2020,1200,0
83781,13/03/2020,1200,0
83781,14/03/2020,1200,0
83781,15/03/2020,1200,0
83781,16/03/2020,1200,3.2
83781,17/03/2020,1200,10.2
83781,18/03/2020,1200,0
83781,19/03/2020,1200,4.2
83781,20/03/2020,1200,0.7
83781,21/03/2020,1200,1.4
83781,22/03/2020,1200,0.1
83781,23/03/2020,1200,0.3
