Data,Hora,Med_Hor
14/01/2020,02:00,0
14/01/2020,03:00,2
14/01/2020,04:00,0
14/01/2020,05:00,2
14/01/2020,06:00,1
14/01/2020,07:00,6
14/01/2020,08:00,13
14/01/2020,09:00,25
14/01/2020,10:00,29
14/01/2020,11:00,25
14/01/2020,12:00,10
14/01/2020,13:00,7
14/01/2020,14:00,4
14/01/2020,15:00,0
14/01/2020,16:00,1
14/01/2020,17:00,0
14/01/2020,18:00,1
14/01/2020,19:00,1
14/01/2020,20:00,0
14/01/2020,21:00,0
14/01/2020,22:00,5
14/01/2020,23:00,6
14/01/2020,24:00:00,14
15/01/2020,02:00,1
15/01/2020,03:00,1
15/01/2020,04:00,1
15/01/2020,05:00,1
15/01/2020,06:00,9
15/01/2020,07:00,27
15/01/2020,08:00,39
15/01/2020,09:00,25
15/01/2020,10:00,27
15/01/2020,11:00,15
15/01/2020,12:00,4
15/01/2020,13:00,6
15/01/2020,14:00,9
15/01/2020,15:00,8
15/01/2020,16:00,2
15/01/2020,17:00,0
15/01/2020,18:00,0
15/01/2020,19:00,0
15/01/2020,20:00,0
15/01/2020,21:00,11
15/01/2020,22:00,7
15/01/2020,23:00,24
15/01/2020,24:00:00,30
16/01/2020,02:00,37
16/01/2020,03:00,47
16/01/2020,04:00,57
16/01/2020,05:00,62
16/01/2020,06:00,83
16/01/2020,07:00,92
16/01/2020,08:00,85
16/01/2020,09:00,53
16/01/2020,10:00,16
16/01/2020,11:00,17
16/01/2020,12:00,8
16/01/2020,13:00,5
16/01/2020,14:00,11
16/01/2020,15:00,2
16/01/2020,16:00,5
16/01/2020,17:00,5
16/01/2020,18:00,0
16/01/2020,19:00,0
16/01/2020,20:00,0
16/01/2020,21:00,0
16/01/2020,22:00,0
16/01/2020,23:00,0
16/01/2020,24:00:00,0
17/01/2020,02:00,0
17/01/2020,03:00,0
17/01/2020,04:00,0
17/01/2020,05:00,0
17/01/2020,06:00,0
17/01/2020,07:00,1
17/01/2020,08:00,3
17/01/2020,09:00,5
17/01/2020,10:00,4
17/01/2020,11:00,1
17/01/2020,12:00,2
17/01/2020,13:00,1
17/01/2020,14:00,1
17/01/2020,15:00,1
17/01/2020,16:00,0
17/01/2020,17:00,0
17/01/2020,18:00,0
17/01/2020,19:00,0
18/01/2020,11:00,8
18/01/2020,12:00,7
18/01/2020,13:00,2
18/01/2020,14:00,0
18/01/2020,15:00,0
18/01/2020,16:00,1
18/01/2020,17:00,1
18/01/2020,18:00,1
18/01/2020,19:00,2
18/01/2020,20:00,2
18/01/2020,21:00,4
18/01/2020,22:00,4
18/01/2020,23:00,6
18/01/2020,24:00:00,9
19/01/2020,02:00,4
19/01/2020,03:00,5
19/01/2020,04:00,6
19/01/2020,05:00,6
19/01/2020,06:00,13
19/01/2020,07:00,13
19/01/2020,08:00,22
19/01/2020,09:00,20
19/01/2020,10:00,18
19/01/2020,11:00,11
19/01/2020,12:00,6
19/01/2020,13:00,2
19/01/2020,15:00,0
19/01/2020,16:00,0
19/01/2020,17:00,0
19/01/2020,18:00,0
19/01/2020,19:00,0
19/01/2020,20:00,0
19/01/2020,21:00,1
19/01/2020,22:00,3
19/01/2020,23:00,1
19/01/2020,24:00:00,1
20/01/2020,02:00,1
20/01/2020,03:00,0
20/01/2020,04:00,0
20/01/2020,05:00,1
20/01/2020,06:00,8
20/01/2020,07:00,20
20/01/2020,08:00,26
20/01/2020,09:00,38
20/01/2020,10:00,23
20/01/2020,11:00,19
20/01/2020,12:00,18
20/01/2020,13:00,7
20/01/2020,14:00,1
20/01/2020,15:00,2
20/01/2020,16:00,1
20/01/2020,17:00,2
20/01/2020,18:00,2
20/01/2020,19:00,1
20/01/2020,20:00,1
20/01/2020,21:00,2
20/01/2020,22:00,3
20/01/2020,23:00,3
20/01/2020,24:00:00,4
21/01/2020,02:00,3
21/01/2020,03:00,0
21/01/2020,04:00,0
21/01/2020,05:00,0
21/01/2020,06:00,15
21/01/2020,07:00,29
21/01/2020,08:00,36
21/01/2020,09:00,37
21/01/2020,10:00,30
21/01/2020,11:00,20
21/01/2020,12:00,11
21/01/2020,13:00,8
21/01/2020,14:00,3
21/01/2020,15:00,0
21/01/2020,16:00,0
21/01/2020,17:00,0
21/01/2020,18:00,0
21/01/2020,19:00,0
21/01/2020,20:00,2
21/01/2020,21:00,3
21/01/2020,22:00,0
21/01/2020,23:00,8
21/01/2020,24:00:00,3
22/01/2020,02:00,1
22/01/2020,03:00,0
22/01/2020,04:00,0
22/01/2020,05:00,2
22/01/2020,06:00,13
22/01/2020,07:00,27
22/01/2020,08:00,31
22/01/2020,09:00,30
22/01/2020,10:00,27
22/01/2020,11:00,20
22/01/2020,12:00,9
22/01/2020,13:00,9
22/01/2020,14:00,0
22/01/2020,15:00,1
22/01/2020,16:00,0
22/01/2020,17:00,0
22/01/2020,18:00,1
22/01/2020,19:00,2
22/01/2020,20:00,2
22/01/2020,21:00,0
22/01/2020,22:00,2
22/01/2020,23:00,11
22/01/2020,24:00:00,13
23/01/2020,02:00,1
23/01/2020,03:00,0
23/01/2020,11:00,28
23/01/2020,12:00,29
23/01/2020,13:00,34
23/01/2020,14:00,5
23/01/2020,15:00,4
23/01/2020,16:00,2
23/01/2020,17:00,4
23/01/2020,18:00,1
23/01/2020,19:00,5
23/01/2020,20:00,2
23/01/2020,21:00,0
23/01/2020,22:00,1
23/01/2020,23:00,1
23/01/2020,24:00:00,4
24/01/2020,02:00,0
24/01/2020,03:00,0
24/01/2020,04:00,0
24/01/2020,05:00,0
24/01/2020,06:00,0
24/01/2020,07:00,1
24/01/2020,08:00,3
24/01/2020,09:00,4
24/01/2020,10:00,7
24/01/2020,11:00,11
24/01/2020,12:00,8
