Data,Hora,Med_Hor
14/01/2020,02:00,1
14/01/2020,03:00,4
14/01/2020,04:00,3
14/01/2020,05:00,8
14/01/2020,06:00,13
14/01/2020,07:00,24
14/01/2020,08:00,32
14/01/2020,09:00,34
14/01/2020,10:00,36
14/01/2020,11:00,39
14/01/2020,12:00,36
14/01/2020,13:00,33
14/01/2020,14:00,32
14/01/2020,15:00,19
14/01/2020,16:00,19
14/01/2020,17:00,23
14/01/2020,18:00,22
14/01/2020,19:00,23
14/01/2020,20:00,17
14/01/2020,21:00,12
14/01/2020,22:00,14
14/01/2020,23:00,19
14/01/2020,24:00:00,20
15/01/2020,02:00,9
15/01/2020,03:00,12
15/01/2020,04:00,11
15/01/2020,05:00,14
15/01/2020,06:00,27
15/01/2020,07:00,43
15/01/2020,08:00,44
15/01/2020,09:00,40
15/01/2020,10:00,48
15/01/2020,11:00,51
15/01/2020,12:00,37
15/01/2020,13:00,37
15/01/2020,14:00,37
15/01/2020,15:00,34
15/01/2020,16:00,21
15/01/2020,17:00,14
15/01/2020,18:00,17
15/01/2020,19:00,25
15/01/2020,20:00,41
15/01/2020,21:00,74
15/01/2020,22:00,89
15/01/2020,23:00,97
15/01/2020,24:00:00,105
16/01/2020,02:00,80
16/01/2020,03:00,65
16/01/2020,04:00,57
16/01/2020,05:00,54
16/01/2020,06:00,54
16/01/2020,07:00,64
16/01/2020,08:00,70
16/01/2020,09:00,69
16/01/2020,10:00,49
16/01/2020,11:00,47
16/01/2020,12:00,37
16/01/2020,13:00,26
16/01/2020,14:00,47
16/01/2020,15:00,29
16/01/2020,16:00,23
16/01/2020,17:00,19
16/01/2020,18:00,22
16/01/2020,19:00,9
16/01/2020,20:00,6
16/01/2020,21:00,11
16/01/2020,22:00,15
16/01/2020,23:00,7
16/01/2020,24:00:00,6
17/01/2020,02:00,1
17/01/2020,03:00,0
17/01/2020,04:00,0
17/01/2020,05:00,0
17/01/2020,06:00,0
17/01/2020,07:00,8
17/01/2020,08:00,17
17/01/2020,09:00,19
17/01/2020,10:00,20
17/01/2020,11:00,15
17/01/2020,12:00,14
17/01/2020,13:00,13
17/01/2020,14:00,11
17/01/2020,15:00,14
17/01/2020,16:00,6
17/01/2020,17:00,0
17/01/2020,18:00,0
17/01/2020,19:00,0
18/01/2020,11:00,10
18/01/2020,12:00,12
18/01/2020,13:00,11
18/01/2020,14:00,5
18/01/2020,15:00,7
18/01/2020,16:00,9
18/01/2020,17:00,9
18/01/2020,18:00,9
18/01/2020,19:00,14
18/01/2020,20:00,14
18/01/2020,21:00,14
18/01/2020,22:00,17
18/01/2020,23:00,19
18/01/2020,24:00:00,15
19/01/2020,02:00,15
19/01/2020,03:00,12
19/01/2020,04:00,11
19/01/2020,05:00,10
19/01/2020,06:00,17
19/01/2020,07:00,17
19/01/2020,08:00,20
19/01/2020,09:00,19
19/01/2020,10:00,18
19/01/2020,11:00,17
19/01/2020,12:00,18
19/01/2020,13:00,13
19/01/2020,15:00,6
19/01/2020,16:00,8
19/01/2020,17:00,8
19/01/2020,18:00,11
19/01/2020,19:00,8
19/01/2020,20:00,6
19/01/2020,21:00,6
19/01/2020,22:00,9
19/01/2020,23:00,8
19/01/2020,24:00:00,10
20/01/2020,02:00,6
20/01/2020,03:00,2
20/01/2020,04:00,1
20/01/2020,05:00,6
20/01/2020,06:00,15
20/01/2020,07:00,26
20/01/2020,08:00,30
20/01/2020,09:00,35
20/01/2020,10:00,32
20/01/2020,11:00,38
20/01/2020,12:00,37
20/01/2020,13:00,30
20/01/2020,14:00,24
20/01/2020,15:00,20
20/01/2020,16:00,20
20/01/2020,17:00,21
20/01/2020,18:00,20
20/01/2020,19:00,15
20/01/2020,20:00,14
20/01/2020,21:00,14
20/01/2020,22:00,17
20/01/2020,23:00,14
20/01/2020,24:00:00,19
21/01/2020,02:00,9
21/01/2020,03:00,4
21/01/2020,04:00,2
21/01/2020,05:00,4
21/01/2020,06:00,22
21/01/2020,07:00,35
21/01/2020,08:00,30
21/01/2020,09:00,33
21/01/2020,10:00,36
21/01/2020,11:00,40
21/01/2020,12:00,39
21/01/2020,13:00,36
21/01/2020,14:00,32
21/01/2020,15:00,14
21/01/2020,16:00,15
21/01/2020,17:00,14
21/01/2020,18:00,14
21/01/2020,19:00,17
21/01/2020,20:00,18
21/01/2020,21:00,13
21/01/2020,22:00,8
21/01/2020,23:00,19
21/01/2020,24:00:00,15
22/01/2020,02:00,5
22/01/2020,03:00,3
22/01/2020,04:00,4
22/01/2020,05:00,8
22/01/2020,06:00,23
22/01/2020,07:00,32
22/01/2020,08:00,34
22/01/2020,09:00,32
22/01/2020,10:00,40
22/01/2020,11:00,43
22/01/2020,12:00,33
22/01/2020,13:00,35
22/01/2020,14:00,20
22/01/2020,15:00,23
22/01/2020,16:00,20
22/01/2020,17:00,16
22/01/2020,18:00,14
22/01/2020,19:00,10
22/01/2020,20:00,14
22/01/2020,21:00,12
22/01/2020,22:00,15
22/01/2020,23:00,27
22/01/2020,24:00:00,22
23/01/2020,02:00,10
23/01/2020,03:00,4
23/01/2020,11:00,46
23/01/2020,12:00,41
23/01/2020,13:00,50
23/01/2020,14:00,44
23/01/2020,15:00,38
23/01/2020,16:00,32
23/01/2020,17:00,35
23/01/2020,18:00,29
23/01/2020,19:00,27
23/01/2020,20:00,26
23/01/2020,21:00,35
23/01/2020,22:00,38
23/01/2020,23:00,38
23/01/2020,24:00:00,43
24/01/2020,02:00,37
24/01/2020,03:00,29
24/01/2020,04:00,15
24/01/2020,05:00,5
24/01/2020,06:00,7
24/01/2020,07:00,23
24/01/2020,08:00,22
24/01/2020,09:00,22
24/01/2020,10:00,28
24/01/2020,11:00,33
24/01/2020,12:00,29
24/01/2020,13:00,21
24/01/2020,14:00,17
24/01/2020,15:00,15
24/01/2020,16:00,17
24/01/2020,17:00,13
24/01/2020,18:00,11
24/01/2020,19:00,9
25/01/2020,10:00,10
25/01/2020,11:00,12
25/01/2020,12:00,11
25/01/2020,13:00,4
25/01/2020,15:00,4
25/01/2020,16:00,4
25/01/2020,17:00,2
25/01/2020,18:00,3
25/01/2020,19:00,8
25/01/2020,20:00,12
25/01/2020,21:00,13
25/01/2020,22:00,33
25/01/2020,23:00,38
25/01/2020,24:00:00,38
26/01/2020,02:00,35
26/01/2020,03:00,30
26/01/2020,04:00,27
26/01/2020,05:00,26
26/01/2020,06:00,25
26/01/2020,07:00,25
26/01/2020,08:00,38
26/01/2020,09:00,43
26/01/2020,10:00,42
26/01/2020,11:00,22
26/01/2020,12:00,15
26/01/2020,13:00,8
26/01/2020,14:00,5
26/01/2020,15:00,2
26/01/2020,16:00,3
26/01/2020,17:00,5
26/01/2020,18:00,2
26/01/2020,19:00,8
26/01/2020,20:00,13
26/01/2020,21:00,20
26/01/2020,22:00,31
26/01/2020,23:00,37
26/01/2020,24:00:00,47
27/01/2020,02:00,55
27/01/2020,03:00,53
27/01/2020,04:00,54
27/01/2020,05:00,48
27/01/2020,06:00,48
27/01/2020,07:00,50
27/01/2020,08:00,59
27/01/2020,09:00,76
27/01/2020,10:00,86
27/01/2020,11:00,79
27/01/2020,12:00,49
27/01/2020,13:00,50
27/01/2020,14:00,27
27/01/2020,15:00,29
27/01/2020,16:00,41
27/01/2020,17:00,26
27/01/2020,18:00,23
27/01/2020,19:00,26
27/01/2020,20:00,37
27/01/2020,21:00,63
27/01/2020,22:00,78
27/01/2020,23:00,73
27/01/2020,24:00:00,76
28/01/2020,02:00,62
28/01/2020,03:00,57
28/01/2020,04:00,65
28/01/2020,05:00,66
28/01/2020,06:00,56
28/01/2020,07:00,71
28/01/2020,08:00,80
28/01/2020,09:00,91
28/01/2020,10:00,72
28/01/2020,11:00,53
28/01/2020,12:00,44
28/01/2020,13:00,42
28/01/2020,14:00,27
28/01/2020,15:00,19
28/01/2020,16:00,21
28/01/2020,17:00,23
28/01/2020,18:00,30
28/01/2020,19:00,18
28/01/2020,20:00,36
28/01/2020,21:00,39
28/01/2020,22:00,53
28/01/2020,23:00,59
28/01/2020,24:00:00,58
29/01/2020,02:00,32
29/01/2020,03:00,21
29/01/2020,04:00,13
29/01/2020,05:00,20
29/01/2020,06:00,39
29/01/2020,07:00,51
29/01/2020,08:00,52
29/01/2020,09:00,45
29/01/2020,10:00,21
29/01/2020,11:00,33
29/01/2020,12:00,28
29/01/2020,13:00,37
29/01/2020,14:00,35
29/01/2020,15:00,42
29/01/2020,16:00,51
29/01/2020,17:00,63
29/01/2020,18:00,57
29/01/2020,19:00,57
29/01/2020,20:00,40
29/01/2020,21:00,43
29/01/2020,22:00,42
29/01/2020,23:00,32
29/01/2020,24:00:00,27
30/01/2020,02:00,9
30/01/2020,03:00,3
30/01/2020,04:00,2
30/01/2020,05:00,2
30/01/2020,06:00,14
30/01/2020,07:00,21
30/01/2020,08:00,25
30/01/2020,09:00,25
30/01/2020,10:00,25
30/01/2020,11:00,27
30/01/2020,12:00,29
30/01/2020,13:00,32
30/01/2020,14:00,30
30/01/2020,15:00,31
30/01/2020,16:00,33
30/01/2020,17:00,35
30/01/2020,18:00,38
30/01/2020,19:00,37
30/01/2020,20:00,35
30/01/2020,21:00,36
30/01/2020,22:00,24
30/01/2020,23:00,19
30/01/2020,24:00:00,18
31/01/2020,02:00,9
31/01/2020,03:00,8
31/01/2020,04:00,3
31/01/2020,05:00,9
31/01/2020,06:00,20
31/01/2020,07:00,30
31/01/2020,08:00,36
31/01/2020,09:00,36
31/01/2020,10:00,32
31/01/2020,11:00,35
31/01/2020,12:00,40
31/01/2020,13:00,34
31/01/2020,14:00,23
31/01/2020,15:00,29
31/01/2020,16:00,36
31/01/2020,17:00,34
31/01/2020,18:00,36
31/01/2020,19:00,42
31/01/2020,20:00,37
31/01/2020,21:00,38
31/01/2020,22:00,36
31/01/2020,23:00,39
31/01/2020,24:00:00,31
01/02/2020,02:00,16
01/02/2020,03:00,13
01/02/2020,04:00,13
01/02/2020,05:00,12
01/02/2020,06:00,16
01/02/2020,07:00,26
01/02/2020,08:00,28
01/02/2020,09:00,31
01/02/2020,10:00,32
01/02/2020,11:00,30
01/02/2020,12:00,23
01/02/2020,13:00,23
01/02/2020,14:00,23
01/02/2020,15:00,15
01/02/2020,16:00,11
01/02/2020,17:00,20
01/02/2020,18:00,26
01/02/2020,19:00,25
01/02/2020,20:00,33
01/02/2020,21:00,24
01/02/2020,22:00,21
01/02/2020,23:00,30
01/02/2020,24:00:00,32
02/02/2020,02:00,25
02/02/2020,03:00,21
02/02/2020,04:00,14
02/02/2020,05:00,6
02/02/2020,06:00,8
02/02/2020,07:00,16
02/02/2020,08:00,19
02/02/2020,09:00,24
02/02/2020,10:00,19
02/02/2020,11:00,17
02/02/2020,12:00,17
02/02/2020,13:00,13
02/02/2020,14:00,13
02/02/2020,15:00,21
02/02/2020,16:00,3
02/02/2020,17:00,0
02/02/2020,18:00,8
02/02/2020,19:00,16
02/02/2020,20:00,17
02/02/2020,21:00,9
02/02/2020,22:00,7
02/02/2020,23:00,3
02/02/2020,24:00:00,11
03/02/2020,02:00,6
03/02/2020,03:00,4
03/02/2020,04:00,2
03/02/2020,05:00,7
03/02/2020,06:00,18
03/02/2020,07:00,33
03/02/2020,08:00,36
03/02/2020,09:00,35
03/02/2020,10:00,40
03/02/2020,11:00,41
03/02/2020,12:00,28
03/02/2020,13:00,43
03/02/2020,14:00,41
03/02/2020,15:00,23
03/02/2020,16:00,18
03/02/2020,17:00,16
03/02/2020,18:00,15
03/02/2020,19:00,22
03/02/2020,20:00,12
03/02/2020,21:00,5
03/02/2020,22:00,10
03/02/2020,23:00,14
03/02/2020,24:00:00,11
04/02/2020,02:00,2
04/02/2020,03:00,2
04/02/2020,04:00,1
04/02/2020,08:00,29
04/02/2020,09:00,38
04/02/2020,10:00,45
04/02/2020,11:00,38
04/02/2020,12:00,42
04/02/2020,13:00,43
04/02/2020,14:00,29
04/02/2020,15:00,17
04/02/2020,16:00,20
04/02/2020,17:00,19
04/02/2020,18:00,14
04/02/2020,19:00,22
04/02/2020,20:00,27
04/02/2020,21:00,25
04/02/2020,22:00,20
04/02/2020,23:00,16
04/02/2020,24:00:00,27
05/02/2020,02:00,21
05/02/2020,03:00,8
