Data,Hora,Med_Hor
14/01/2020,01:00,39
14/01/2020,02:00,21
14/01/2020,03:00,18
14/01/2020,04:00,33
14/01/2020,05:00,41
14/01/2020,06:00,38
14/01/2020,07:00,45
14/01/2020,08:00,41
14/01/2020,09:00,37
14/01/2020,10:00,48
14/01/2020,11:00,38
14/01/2020,12:00,51
14/01/2020,13:00,73
14/01/2020,14:00,93
14/01/2020,15:00,102
14/01/2020,16:00,90
14/01/2020,17:00,76
14/01/2020,19:00,59
14/01/2020,20:00,59
14/01/2020,21:00,56
14/01/2020,22:00,46
14/01/2020,23:00,40
14/01/2020,24:00:00,32
15/01/2020,01:00,29
15/01/2020,02:00,20
15/01/2020,03:00,18
15/01/2020,04:00,14
15/01/2020,05:00,22
15/01/2020,06:00,28
15/01/2020,07:00,38
15/01/2020,08:00,37
15/01/2020,09:00,46
15/01/2020,10:00,48
15/01/2020,11:00,48
15/01/2020,12:00,73
15/01/2020,13:00,88
15/01/2020,14:00,61
15/01/2020,15:00,91
15/01/2020,17:00,83
15/01/2020,18:00,76
15/01/2020,19:00,91
15/01/2020,20:00,63
15/01/2020,21:00,98
15/01/2020,22:00,78
15/01/2020,23:00,80
15/01/2020,24:00:00,88
16/01/2020,01:00,102
16/01/2020,02:00,82
16/01/2020,03:00,72
16/01/2020,04:00,67
16/01/2020,05:00,69
16/01/2020,06:00,86
16/01/2020,07:00,87
16/01/2020,08:00,91
16/01/2020,09:00,86
16/01/2020,10:00,82
16/01/2020,11:00,66
16/01/2020,12:00,68
16/01/2020,13:00,74
16/01/2020,14:00,66
16/01/2020,15:00,70
16/01/2020,16:00,83
16/01/2020,17:00,51
16/01/2020,24:00:00,60
17/01/2020,01:00,59
17/01/2020,02:00,36
17/01/2020,03:00,32
17/01/2020,04:00,32
17/01/2020,05:00,35
17/01/2020,06:00,46
17/01/2020,07:00,63
17/01/2020,08:00,61
17/01/2020,09:00,55
17/01/2020,10:00,55
17/01/2020,11:00,64
17/01/2020,12:00,63
17/01/2020,13:00,61
17/01/2020,14:00,59
17/01/2020,15:00,64
17/01/2020,16:00,65
17/01/2020,17:00,55
17/01/2020,18:00,49
17/01/2020,19:00,48
17/01/2020,20:00,42
17/01/2020,21:00,32
17/01/2020,22:00,49
17/01/2020,23:00,46
17/01/2020,24:00:00,37
18/01/2020,01:00,30
18/01/2020,02:00,30
18/01/2020,03:00,32
18/01/2020,04:00,21
18/01/2020,05:00,21
18/01/2020,06:00,33
18/01/2020,07:00,30
18/01/2020,08:00,29
18/01/2020,09:00,33
18/01/2020,10:00,38
18/01/2020,11:00,37
18/01/2020,12:00,38
18/01/2020,13:00,50
18/01/2020,14:00,55
18/01/2020,15:00,64
18/01/2020,16:00,54
18/01/2020,17:00,45
18/01/2020,18:00,44
18/01/2020,19:00,40
18/01/2020,20:00,38
18/01/2020,21:00,34
18/01/2020,22:00,32
18/01/2020,23:00,24
18/01/2020,24:00:00,36
19/01/2020,01:00,29
19/01/2020,02:00,23
19/01/2020,03:00,19
19/01/2020,04:00,13
19/01/2020,05:00,21
19/01/2020,06:00,24
19/01/2020,07:00,20
19/01/2020,08:00,15
19/01/2020,09:00,15
19/01/2020,10:00,13
19/01/2020,11:00,15
19/01/2020,12:00,16
19/01/2020,13:00,57
19/01/2020,14:00,68
19/01/2020,15:00,69
19/01/2020,16:00,60
19/01/2020,17:00,55
19/01/2020,18:00,63
19/01/2020,19:00,61
19/01/2020,20:00,53
19/01/2020,21:00,40
19/01/2020,22:00,29
19/01/2020,23:00,17
19/01/2020,24:00:00,37
20/01/2020,01:00,29
20/01/2020,02:00,19
20/01/2020,03:00,27
20/01/2020,05:00,32
20/01/2020,06:00,23
20/01/2020,07:00,28
20/01/2020,09:00,33
20/01/2020,11:00,60
20/01/2020,12:00,69
20/01/2020,13:00,72
20/01/2020,14:00,75
20/01/2020,15:00,78
20/01/2020,16:00,78
20/01/2020,17:00,61
20/01/2020,18:00,63
20/01/2020,19:00,57
20/01/2020,20:00,39
20/01/2020,21:00,29
20/01/2020,22:00,42
20/01/2020,23:00,40
20/01/2020,24:00:00,30
21/01/2020,01:00,40
21/01/2020,02:00,26
21/01/2020,03:00,15
21/01/2020,04:00,41
21/01/2020,05:00,41
21/01/2020,06:00,41
21/01/2020,07:00,40
21/01/2020,08:00,34
21/01/2020,09:00,34
21/01/2020,10:00,38
21/01/2020,11:00,46
21/01/2020,12:00,66
21/01/2020,13:00,82
21/01/2020,14:00,97
21/01/2020,15:00,108
21/01/2020,16:00,89
21/01/2020,17:00,88
21/01/2020,18:00,88
21/01/2020,19:00,82
21/01/2020,20:00,50
21/01/2020,21:00,44
21/01/2020,22:00,53
21/01/2020,23:00,46
21/01/2020,24:00:00,38
22/01/2020,01:00,41
22/01/2020,02:00,31
22/01/2020,03:00,19
22/01/2020,04:00,19
22/01/2020,05:00,40
22/01/2020,06:00,19
22/01/2020,07:00,30
22/01/2020,08:00,37
22/01/2020,09:00,35
22/01/2020,10:00,37
22/01/2020,11:00,48
22/01/2020,12:00,59
22/01/2020,13:00,61
22/01/2020,14:00,94
22/01/2020,15:00,82
22/01/2020,16:00,68
22/01/2020,17:00,63
22/01/2020,18:00,53
22/01/2020,19:00,51
22/01/2020,20:00,44
22/01/2020,21:00,40
22/01/2020,22:00,53
22/01/2020,23:00,26
22/01/2020,24:00:00,39
23/01/2020,01:00,32
23/01/2020,08:00,46
