Data,Hora,Med_Hor
14/01/2020,02:00,1
14/01/2020,03:00,2
14/01/2020,04:00,2
14/01/2020,05:00,11
14/01/2020,06:00,11
14/01/2020,07:00,21
14/01/2020,08:00,16
14/01/2020,09:00,23
14/01/2020,10:00,77
14/01/2020,11:00,57
14/01/2020,12:00,76
14/01/2020,13:00,30
14/01/2020,14:00,8
14/01/2020,15:00,6
14/01/2020,16:00,6
14/01/2020,17:00,7
14/01/2020,18:00,7
14/01/2020,19:00,5
14/01/2020,20:00,2
14/01/2020,21:00,2
14/01/2020,22:00,3
14/01/2020,23:00,8
14/01/2020,24:00:00,17
15/01/2020,02:00,5
15/01/2020,03:00,17
15/01/2020,04:00,46
15/01/2020,05:00,123
15/01/2020,06:00,123
15/01/2020,07:00,162
15/01/2020,08:00,81
15/01/2020,09:00,71
15/01/2020,10:00,89
15/01/2020,11:00,139
15/01/2020,12:00,68
15/01/2020,13:00,58
15/01/2020,14:00,66
15/01/2020,15:00,61
15/01/2020,16:00,28
15/01/2020,17:00,9
15/01/2020,18:00,4
15/01/2020,19:00,4
15/01/2020,20:00,2
15/01/2020,21:00,2
15/01/2020,22:00,10
15/01/2020,23:00,46
15/01/2020,24:00:00,79
16/01/2020,02:00,145
16/01/2020,03:00,152
16/01/2020,04:00,135
16/01/2020,05:00,179
16/01/2020,06:00,179
16/01/2020,07:00,143
16/01/2020,08:00,159
16/01/2020,09:00,100
16/01/2020,10:00,100
16/01/2020,11:00,90
16/01/2020,12:00,91
16/01/2020,13:00,59
16/01/2020,14:00,34
16/01/2020,15:00,33
16/01/2020,16:00,12
16/01/2020,17:00,14
16/01/2020,18:00,16
16/01/2020,19:00,6
16/01/2020,20:00,2
16/01/2020,21:00,2
16/01/2020,22:00,3
16/01/2020,23:00,3
16/01/2020,24:00:00,4
17/01/2020,02:00,2
17/01/2020,03:00,2
17/01/2020,04:00,3
17/01/2020,05:00,3
17/01/2020,06:00,2
17/01/2020,07:00,9
17/01/2020,08:00,14
17/01/2020,09:00,11
17/01/2020,10:00,13
17/01/2020,11:00,16
17/01/2020,12:00,8
17/01/2020,13:00,11
17/01/2020,14:00,9
17/01/2020,15:00,10
17/01/2020,16:00,9
17/01/2020,17:00,8
17/01/2020,18:00,7
17/01/2020,19:00,5
17/01/2020,20:00,4
17/01/2020,21:00,2
17/01/2020,22:00,4
17/01/2020,23:00,2
17/01/2020,24:00:00,1
18/01/2020,02:00,21
18/01/2020,03:00,15
18/01/2020,04:00,4
18/01/2020,05:00,7
18/01/2020,06:00,5
18/01/2020,07:00,9
18/01/2020,08:00,13
18/01/2020,09:00,8
18/01/2020,10:00,10
18/01/2020,11:00,10
18/01/2020,12:00,13
18/01/2020,13:00,8
18/01/2020,14:00,7
18/01/2020,15:00,7
18/01/2020,16:00,7
18/01/2020,17:00,7
18/01/2020,18:00,5
18/01/2020,20:00,2
18/01/2020,21:00,2
18/01/2020,22:00,3
18/01/2020,23:00,4
18/01/2020,24:00:00,4
19/01/2020,02:00,2
19/01/2020,03:00,2
19/01/2020,04:00,2
19/01/2020,05:00,3
19/01/2020,06:00,2
19/01/2020,07:00,6
19/01/2020,08:00,12
19/01/2020,09:00,18
19/01/2020,10:00,11
19/01/2020,11:00,14
19/01/2020,12:00,24
19/01/2020,13:00,7
19/01/2020,14:00,5
19/01/2020,15:00,3
19/01/2020,16:00,3
19/01/2020,17:00,4
19/01/2020,18:00,4
19/01/2020,19:00,2
19/01/2020,20:00,1
19/01/2020,21:00,2
19/01/2020,22:00,1
19/01/2020,23:00,4
19/01/2020,24:00:00,1
20/01/2020,02:00,3
20/01/2020,08:00,47
20/01/2020,09:00,30
20/01/2020,10:00,53
20/01/2020,11:00,40
20/01/2020,12:00,20
20/01/2020,13:00,49
20/01/2020,14:00,8
20/01/2020,15:00,7
20/01/2020,16:00,7
20/01/2020,17:00,7
20/01/2020,18:00,8
20/01/2020,19:00,8
20/01/2020,20:00,3
20/01/2020,21:00,3
20/01/2020,22:00,7
20/01/2020,23:00,4
20/01/2020,24:00:00,16
21/01/2020,02:00,11
21/01/2020,03:00,5
21/01/2020,04:00,10
21/01/2020,05:00,17
21/01/2020,06:00,21
21/01/2020,07:00,80
21/01/2020,08:00,45
21/01/2020,09:00,74
21/01/2020,10:00,60
21/01/2020,11:00,78
21/01/2020,12:00,54
21/01/2020,13:00,28
21/01/2020,14:00,27
21/01/2020,15:00,4
21/01/2020,16:00,5
21/01/2020,17:00,5
21/01/2020,18:00,4
21/01/2020,19:00,3
21/01/2020,20:00,3
21/01/2020,21:00,5
21/01/2020,22:00,3
21/01/2020,23:00,3
21/01/2020,24:00:00,4
22/01/2020,02:00,7
22/01/2020,03:00,5
22/01/2020,04:00,8
22/01/2020,05:00,13
22/01/2020,06:00,17
22/01/2020,07:00,40
22/01/2020,08:00,46
22/01/2020,09:00,46
22/01/2020,10:00,29
22/01/2020,11:00,41
22/01/2020,12:00,46
22/01/2020,13:00,31
22/01/2020,14:00,9
22/01/2020,15:00,8
22/01/2020,16:00,9
22/01/2020,17:00,8
22/01/2020,18:00,8
22/01/2020,19:00,10
22/01/2020,20:00,3
22/01/2020,21:00,2
22/01/2020,22:00,4
22/01/2020,23:00,5
22/01/2020,24:00:00,4
23/01/2020,02:00,6
23/01/2020,03:00,3
23/01/2020,04:00,13
23/01/2020,05:00,28
23/01/2020,06:00,66
23/01/2020,07:00,149
23/01/2020,08:00,49
23/01/2020,09:00,55
23/01/2020,10:00,127
23/01/2020,11:00,49
23/01/2020,12:00,44
23/01/2020,13:00,40
23/01/2020,14:00,22
23/01/2020,15:00,23
23/01/2020,16:00,20
23/01/2020,17:00,23
23/01/2020,18:00,32
23/01/2020,19:00,21
23/01/2020,20:00,6
23/01/2020,21:00,6
23/01/2020,22:00,7
23/01/2020,23:00,13
23/01/2020,24:00:00,12
24/01/2020,02:00,15
24/01/2020,03:00,6
24/01/2020,04:00,4
24/01/2020,05:00,7
24/01/2020,06:00,4
24/01/2020,07:00,12
24/01/2020,08:00,27
24/01/2020,09:00,15
24/01/2020,10:00,13
24/01/2020,11:00,29
24/01/2020,12:00,27
24/01/2020,13:00,18
24/01/2020,14:00,13
24/01/2020,15:00,12
24/01/2020,16:00,11
24/01/2020,17:00,11
24/01/2020,18:00,8
24/01/2020,19:00,4
24/01/2020,20:00,3
24/01/2020,21:00,2
24/01/2020,22:00,6
24/01/2020,23:00,6
24/01/2020,24:00:00,6
25/01/2020,02:00,7
25/01/2020,03:00,1
25/01/2020,04:00,11
25/01/2020,05:00,11
25/01/2020,06:00,13
25/01/2020,07:00,18
25/01/2020,08:00,20
25/01/2020,09:00,9
25/01/2020,10:00,16
25/01/2020,11:00,24
25/01/2020,13:00,30
25/01/2020,14:00,28
25/01/2020,15:00,12
25/01/2020,16:00,6
25/01/2020,17:00,3
25/01/2020,18:00,3
25/01/2020,19:00,2
25/01/2020,20:00,2
25/01/2020,21:00,3
25/01/2020,24:00:00,56
26/01/2020,02:00,46
26/01/2020,03:00,87
26/01/2020,04:00,95
