Data,Hora,Med_Hor
14/01/2020,02:00,11
14/01/2020,03:00,13
14/01/2020,04:00,20
14/01/2020,05:00,25
14/01/2020,06:00,25
14/01/2020,07:00,34
14/01/2020,08:00,35
14/01/2020,09:00,38
14/01/2020,10:00,55
14/01/2020,11:00,58
14/01/2020,12:00,80
14/01/2020,13:00,51
14/01/2020,14:00,40
14/01/2020,15:00,37
14/01/2020,16:00,36
14/01/2020,17:00,37
14/01/2020,18:00,38
14/01/2020,19:00,42
14/01/2020,20:00,38
14/01/2020,21:00,36
14/01/2020,22:00,27
14/01/2020,23:00,24
14/01/2020,24:00:00,35
15/01/2020,02:00,22
15/01/2020,03:00,34
15/01/2020,04:00,51
15/01/2020,05:00,66
15/01/2020,06:00,71
15/01/2020,07:00,77
15/01/2020,08:00,60
15/01/2020,09:00,62
15/01/2020,10:00,78
15/01/2020,11:00,98
15/01/2020,12:00,83
15/01/2020,13:00,75
15/01/2020,14:00,72
15/01/2020,15:00,79
15/01/2020,16:00,64
15/01/2020,17:00,42
15/01/2020,18:00,37
15/01/2020,19:00,40
15/01/2020,20:00,56
15/01/2020,21:00,76
15/01/2020,22:00,108
15/01/2020,23:00,117
15/01/2020,24:00:00,115
16/01/2020,02:00,111
16/01/2020,03:00,108
16/01/2020,04:00,101
16/01/2020,05:00,97
16/01/2020,06:00,90
16/01/2020,07:00,84
16/01/2020,08:00,90
16/01/2020,09:00,78
16/01/2020,10:00,87
16/01/2020,11:00,91
16/01/2020,12:00,89
16/01/2020,13:00,77
16/01/2020,14:00,59
16/01/2020,15:00,58
16/01/2020,16:00,46
16/01/2020,17:00,38
16/01/2020,18:00,40
16/01/2020,19:00,41
16/01/2020,20:00,31
16/01/2020,21:00,33
16/01/2020,22:00,26
16/01/2020,23:00,29
16/01/2020,24:00:00,28
17/01/2020,02:00,26
17/01/2020,03:00,22
17/01/2020,04:00,23
17/01/2020,05:00,19
17/01/2020,06:00,21
17/01/2020,07:00,36
17/01/2020,08:00,34
17/01/2020,09:00,31
17/01/2020,10:00,27
17/01/2020,11:00,36
17/01/2020,12:00,26
17/01/2020,13:00,25
17/01/2020,14:00,28
17/01/2020,15:00,28
17/01/2020,16:00,28
17/01/2020,17:00,26
17/01/2020,18:00,27
17/01/2020,19:00,30
17/01/2020,20:00,27
17/01/2020,21:00,19
17/01/2020,22:00,23
17/01/2020,23:00,19
17/01/2020,24:00:00,19
18/01/2020,02:00,37
18/01/2020,03:00,33
18/01/2020,04:00,19
18/01/2020,05:00,15
18/01/2020,06:00,12
18/01/2020,07:00,15
18/01/2020,08:00,18
18/01/2020,09:00,13
18/01/2020,10:00,18
18/01/2020,11:00,16
18/01/2020,12:00,19
18/01/2020,13:00,17
18/01/2020,14:00,22
18/01/2020,15:00,22
18/01/2020,16:00,20
18/01/2020,17:00,21
18/01/2020,18:00,20
18/01/2020,20:00,17
18/01/2020,21:00,15
18/01/2020,22:00,15
18/01/2020,23:00,19
18/01/2020,24:00:00,16
19/01/2020,02:00,14
19/01/2020,03:00,16
19/01/2020,04:00,13
19/01/2020,05:00,13
19/01/2020,06:00,13
19/01/2020,07:00,19
19/01/2020,08:00,22
19/01/2020,09:00,24
19/01/2020,10:00,22
19/01/2020,11:00,21
19/01/2020,12:00,26
19/01/2020,13:00,18
19/01/2020,14:00,21
19/01/2020,15:00,19
19/01/2020,16:00,18
19/01/2020,17:00,18
19/01/2020,18:00,21
19/01/2020,19:00,21
19/01/2020,20:00,20
19/01/2020,21:00,14
19/01/2020,22:00,13
19/01/2020,23:00,15
19/01/2020,24:00:00,15
20/01/2020,02:00,16
20/01/2020,08:00,37
20/01/2020,09:00,35
20/01/2020,10:00,42
20/01/2020,11:00,45
20/01/2020,12:00,42
20/01/2020,13:00,60
20/01/2020,14:00,36
20/01/2020,15:00,33
20/01/2020,16:00,28
20/01/2020,17:00,28
20/01/2020,18:00,36
20/01/2020,19:00,40
20/01/2020,20:00,23
20/01/2020,21:00,23
20/01/2020,22:00,25
20/01/2020,23:00,22
20/01/2020,24:00:00,35
21/01/2020,02:00,26
21/01/2020,03:00,21
21/01/2020,04:00,27
21/01/2020,05:00,41
21/01/2020,06:00,40
21/01/2020,07:00,50
21/01/2020,08:00,39
21/01/2020,09:00,47
21/01/2020,10:00,57
21/01/2020,11:00,63
21/01/2020,12:00,53
21/01/2020,13:00,56
21/01/2020,14:00,52
21/01/2020,15:00,32
21/01/2020,16:00,33
21/01/2020,17:00,27
21/01/2020,18:00,25
21/01/2020,19:00,31
21/01/2020,20:00,33
21/01/2020,21:00,28
21/01/2020,22:00,21
21/01/2020,23:00,21
21/01/2020,24:00:00,17
22/01/2020,02:00,25
22/01/2020,03:00,22
22/01/2020,04:00,22
22/01/2020,05:00,29
22/01/2020,06:00,39
22/01/2020,07:00,46
22/01/2020,08:00,46
22/01/2020,09:00,52
22/01/2020,10:00,48
22/01/2020,11:00,58
22/01/2020,12:00,56
22/01/2020,13:00,48
22/01/2020,14:00,42
22/01/2020,15:00,33
22/01/2020,16:00,29
22/01/2020,17:00,29
22/01/2020,18:00,33
22/01/2020,19:00,33
22/01/2020,20:00,24
22/01/2020,21:00,20
22/01/2020,22:00,24
22/01/2020,23:00,26
22/01/2020,24:00:00,20
23/01/2020,02:00,24
23/01/2020,03:00,25
23/01/2020,04:00,27
23/01/2020,05:00,43
23/01/2020,06:00,49
23/01/2020,07:00,63
23/01/2020,08:00,42
23/01/2020,09:00,45
23/01/2020,10:00,58
23/01/2020,11:00,49
23/01/2020,12:00,56
23/01/2020,13:00,52
23/01/2020,14:00,55
23/01/2020,15:00,59
23/01/2020,16:00,61
23/01/2020,17:00,59
23/01/2020,18:00,67
23/01/2020,19:00,58
23/01/2020,20:00,61
23/01/2020,21:00,58
23/01/2020,22:00,53
23/01/2020,23:00,64
23/01/2020,24:00:00,60
24/01/2020,02:00,58
24/01/2020,03:00,47
24/01/2020,04:00,31
24/01/2020,05:00,33
24/01/2020,06:00,27
24/01/2020,07:00,40
24/01/2020,08:00,40
24/01/2020,09:00,30
24/01/2020,10:00,32
24/01/2020,11:00,42
24/01/2020,12:00,36
24/01/2020,13:00,25
24/01/2020,14:00,28
24/01/2020,15:00,23
24/01/2020,16:00,28
24/01/2020,17:00,28
24/01/2020,18:00,25
24/01/2020,19:00,31
24/01/2020,20:00,25
24/01/2020,21:00,25
24/01/2020,22:00,31
24/01/2020,23:00,29
24/01/2020,24:00:00,30
25/01/2020,02:00,30
25/01/2020,03:00,20
25/01/2020,04:00,34
25/01/2020,05:00,34
25/01/2020,06:00,36
