Data,Hora,Med_Hor
14/01/2020,01:00,2
14/01/2020,02:00,1
14/01/2020,03:00,1
14/01/2020,04:00,0
14/01/2020,05:00,1
14/01/2020,06:00,3
14/01/2020,07:00,5
14/01/2020,08:00,7
14/01/2020,09:00,10
14/01/2020,10:00,14
14/01/2020,11:00,9
14/01/2020,12:00,4
14/01/2020,13:00,3
14/01/2020,14:00,2
14/01/2020,15:00,2
14/01/2020,16:00,1
14/01/2020,17:00,2
14/01/2020,18:00,2
14/01/2020,19:00,2
14/01/2020,20:00,2
14/01/2020,21:00,1
14/01/2020,22:00,2
14/01/2020,23:00,2
14/01/2020,24:00:00,1
15/01/2020,01:00,1
15/01/2020,02:00,2
15/01/2020,03:00,2
15/01/2020,04:00,1
15/01/2020,05:00,2
15/01/2020,06:00,5
15/01/2020,07:00,10
15/01/2020,08:00,12
15/01/2020,09:00,17
15/01/2020,10:00,10
15/01/2020,11:00,7
15/01/2020,12:00,2
15/01/2020,13:00,3
15/01/2020,14:00,2
15/01/2020,15:00,2
15/01/2020,16:00,1
15/01/2020,17:00,1
15/01/2020,18:00,1
15/01/2020,19:00,1
15/01/2020,20:00,1
15/01/2020,21:00,0
15/01/2020,22:00,1
15/01/2020,23:00,2
15/01/2020,24:00:00,15
16/01/2020,01:00,37
16/01/2020,02:00,28
16/01/2020,03:00,17
16/01/2020,04:00,21
16/01/2020,05:00,31
16/01/2020,06:00,80
16/01/2020,07:00,88
16/01/2020,08:00,44
16/01/2020,09:00,13
16/01/2020,10:00,5
16/01/2020,11:00,3
16/01/2020,12:00,2
16/01/2020,13:00,1
16/01/2020,14:00,9
16/01/2020,15:00,8
16/01/2020,16:00,2
16/01/2020,17:00,3
16/01/2020,18:00,3
16/01/2020,19:00,1
16/01/2020,20:00,0
16/01/2020,21:00,0
16/01/2020,22:00,1
16/01/2020,23:00,1
16/01/2020,24:00:00,0
17/01/2020,01:00,0
17/01/2020,02:00,1
17/01/2020,03:00,0
17/01/2020,04:00,0
17/01/2020,05:00,0
17/01/2020,06:00,1
17/01/2020,07:00,3
17/01/2020,08:00,5
17/01/2020,09:00,5
17/01/2020,10:00,6
17/01/2020,11:00,6
17/01/2020,12:00,4
17/01/2020,13:00,4
17/01/2020,14:00,3
17/01/2020,15:00,4
17/01/2020,16:00,5
17/01/2020,17:00,3
17/01/2020,18:00,3
17/01/2020,19:00,3
17/01/2020,20:00,3
17/01/2020,21:00,2
17/01/2020,22:00,2
17/01/2020,23:00,2
17/01/2020,24:00:00,2
18/01/2020,01:00,4
18/01/2020,02:00,3
18/01/2020,03:00,1
18/01/2020,04:00,1
18/01/2020,05:00,1
18/01/2020,06:00,2
18/01/2020,07:00,3
18/01/2020,08:00,4
18/01/2020,09:00,4
18/01/2020,10:00,6
18/01/2020,11:00,5
18/01/2020,12:00,4
18/01/2020,13:00,4
18/01/2020,14:00,2
18/01/2020,15:00,3
18/01/2020,16:00,3
18/01/2020,17:00,3
18/01/2020,18:00,3
18/01/2020,19:00,2
18/01/2020,20:00,1
18/01/2020,21:00,2
18/01/2020,22:00,2
18/01/2020,23:00,2
18/01/2020,24:00:00,2
19/01/2020,01:00,6
19/01/2020,02:00,4
19/01/2020,03:00,14
19/01/2020,04:00,2
19/01/2020,05:00,1
19/01/2020,06:00,10
19/01/2020,07:00,9
19/01/2020,08:00,6
19/01/2020,09:00,6
19/01/2020,10:00,4
19/01/2020,11:00,4
19/01/2020,12:00,3
19/01/2020,13:00,3
19/01/2020,14:00,1
19/01/2020,15:00,1
19/01/2020,16:00,1
19/01/2020,17:00,1
19/01/2020,18:00,1
19/01/2020,19:00,1
19/01/2020,20:00,0
19/01/2020,21:00,0
19/01/2020,22:00,1
19/01/2020,23:00,0
19/01/2020,24:00:00,1
20/01/2020,01:00,0
20/01/2020,02:00,1
20/01/2020,03:00,1
20/01/2020,04:00,0
20/01/2020,05:00,1
20/01/2020,06:00,2
20/01/2020,07:00,5
20/01/2020,08:00,14
20/01/2020,09:00,18
20/01/2020,10:00,10
20/01/2020,11:00,5
20/01/2020,12:00,3
20/01/2020,13:00,3
20/01/2020,14:00,2
20/01/2020,15:00,2
20/01/2020,16:00,4
20/01/2020,17:00,3
20/01/2020,18:00,3
20/01/2020,19:00,3
20/01/2020,20:00,2
20/01/2020,21:00,2
20/01/2020,22:00,3
20/01/2020,23:00,3
20/01/2020,24:00:00,2
21/01/2020,01:00,4
21/01/2020,02:00,2
21/01/2020,03:00,1
21/01/2020,04:00,1
21/01/2020,05:00,2
21/01/2020,06:00,15
21/01/2020,07:00,15
21/01/2020,08:00,17
21/01/2020,09:00,14
21/01/2020,10:00,10
21/01/2020,11:00,11
21/01/2020,12:00,6
21/01/2020,13:00,3
21/01/2020,14:00,1
21/01/2020,15:00,1
21/01/2020,16:00,2
21/01/2020,17:00,2
21/01/2020,18:00,1
21/01/2020,19:00,1
21/01/2020,20:00,1
21/01/2020,21:00,1
21/01/2020,22:00,2
21/01/2020,23:00,3
21/01/2020,24:00:00,2
22/01/2020,01:00,1
22/01/2020,02:00,1
22/01/2020,03:00,1
22/01/2020,04:00,1
22/01/2020,05:00,1
22/01/2020,06:00,6
22/01/2020,07:00,16
22/01/2020,08:00,14
22/01/2020,09:00,15
22/01/2020,10:00,13
22/01/2020,11:00,8
22/01/2020,12:00,5
22/01/2020,13:00,3
22/01/2020,14:00,2
22/01/2020,15:00,4
22/01/2020,16:00,4
22/01/2020,17:00,3
22/01/2020,18:00,3
22/01/2020,19:00,3
22/01/2020,20:00,3
22/01/2020,21:00,3
22/01/2020,22:00,4
22/01/2020,23:00,3
22/01/2020,24:00:00,2
23/01/2020,01:00,1
23/01/2020,02:00,1
23/01/2020,03:00,1
23/01/2020,04:00,1
23/01/2020,05:00,2
23/01/2020,06:00,10
23/01/2020,07:00,22
23/01/2020,08:00,32
23/01/2020,09:00,32
23/01/2020,10:00,37
23/01/2020,11:00,17
23/01/2020,12:00,7
23/01/2020,13:00,12
23/01/2020,14:00,7
23/01/2020,15:00,9
23/01/2020,16:00,7
23/01/2020,17:00,6
23/01/2020,18:00,5
23/01/2020,19:00,5
23/01/2020,20:00,6
23/01/2020,21:00,5
23/01/2020,22:00,3
23/01/2020,23:00,6
23/01/2020,24:00:00,3
24/01/2020,01:00,2
24/01/2020,02:00,3
24/01/2020,03:00,1
24/01/2020,04:00,1
24/01/2020,05:00,2
24/01/2020,06:00,1
24/01/2020,07:00,4
24/01/2020,08:00,15
24/01/2020,09:00,12
24/01/2020,10:00,13
24/01/2020,11:00,17
24/01/2020,12:00,15
