Data,Hora,Med_Hor
14/01/2020,01:00,16
14/01/2020,02:00,15
14/01/2020,03:00,14
14/01/2020,04:00,11
14/01/2020,05:00,9
14/01/2020,06:00,22
14/01/2020,07:00,29
14/01/2020,08:00,31
14/01/2020,09:00,29
14/01/2020,10:00,30
14/01/2020,11:00,29
14/01/2020,12:00,25
14/01/2020,13:00,26
14/01/2020,14:00,29
14/01/2020,15:00,28
14/01/2020,16:00,26
14/01/2020,17:00,26
14/01/2020,18:00,24
14/01/2020,19:00,26
14/01/2020,20:00,24
14/01/2020,21:00,22
14/01/2020,22:00,22
14/01/2020,23:00,16
14/01/2020,24:00:00,16
15/01/2020,01:00,15
15/01/2020,02:00,15
15/01/2020,03:00,20
15/01/2020,04:00,20
15/01/2020,05:00,27
15/01/2020,06:00,34
15/01/2020,07:00,38
15/01/2020,08:00,35
15/01/2020,09:00,41
15/01/2020,10:00,39
15/01/2020,11:00,39
15/01/2020,12:00,30
15/01/2020,13:00,33
15/01/2020,14:00,29
15/01/2020,15:00,26
15/01/2020,16:00,32
15/01/2020,17:00,27
15/01/2020,18:00,34
15/01/2020,19:00,42
15/01/2020,20:00,49
15/01/2020,21:00,53
15/01/2020,22:00,72
15/01/2020,23:00,91
15/01/2020,24:00:00,94
16/01/2020,01:00,75
16/01/2020,02:00,63
16/01/2020,03:00,57
16/01/2020,04:00,52
16/01/2020,05:00,48
16/01/2020,06:00,49
16/01/2020,07:00,58
16/01/2020,08:00,76
16/01/2020,09:00,52
16/01/2020,10:00,37
16/01/2020,11:00,32
16/01/2020,12:00,29
16/01/2020,13:00,29
16/01/2020,14:00,52
16/01/2020,15:00,59
16/01/2020,16:00,37
16/01/2020,17:00,29
16/01/2020,18:00,33
16/01/2020,19:00,28
16/01/2020,20:00,18
16/01/2020,21:00,19
16/01/2020,22:00,22
16/01/2020,23:00,27
16/01/2020,24:00:00,24
17/01/2020,01:00,24
17/01/2020,02:00,15
17/01/2020,03:00,12
17/01/2020,04:00,9
17/01/2020,05:00,10
17/01/2020,06:00,16
17/01/2020,07:00,22
17/01/2020,08:00,27
17/01/2020,09:00,27
17/01/2020,10:00,25
17/01/2020,11:00,28
17/01/2020,12:00,22
17/01/2020,13:00,19
17/01/2020,14:00,20
17/01/2020,15:00,21
17/01/2020,16:00,22
17/01/2020,17:00,17
17/01/2020,18:00,22
17/01/2020,19:00,21
17/01/2020,20:00,24
17/01/2020,21:00,19
17/01/2020,22:00,22
17/01/2020,23:00,22
17/01/2020,24:00:00,20
18/01/2020,01:00,22
18/01/2020,02:00,19
18/01/2020,03:00,10
18/01/2020,04:00,8
18/01/2020,05:00,6
18/01/2020,06:00,10
18/01/2020,07:00,13
18/01/2020,08:00,12
18/01/2020,09:00,11
18/01/2020,10:00,13
18/01/2020,11:00,11
18/01/2020,12:00,11
18/01/2020,13:00,13
18/01/2020,14:00,18
18/01/2020,15:00,17
18/01/2020,16:00,14
18/01/2020,17:00,14
18/01/2020,18:00,14
18/01/2020,19:00,15
18/01/2020,20:00,13
18/01/2020,21:00,16
18/01/2020,22:00,19
18/01/2020,23:00,12
18/01/2020,24:00:00,13
19/01/2020,01:00,20
19/01/2020,02:00,15
19/01/2020,03:00,26
19/01/2020,04:00,9
19/01/2020,05:00,6
19/01/2020,06:00,20
19/01/2020,07:00,19
19/01/2020,08:00,16
19/01/2020,09:00,14
19/01/2020,10:00,14
19/01/2020,11:00,14
19/01/2020,12:00,14
19/01/2020,13:00,14
19/01/2020,14:00,12
