Data,Hora,Med_Hor
14/01/2020,01:00,0
14/01/2020,02:00,1
14/01/2020,03:00,0
14/01/2020,04:00,0
14/01/2020,05:00,0
14/01/2020,06:00,1
14/01/2020,07:00,4
14/01/2020,08:00,7
14/01/2020,09:00,8
14/01/2020,10:00,7
14/01/2020,11:00,7
14/01/2020,12:00,6
14/01/2020,13:00,4
14/01/2020,18:00,12
14/01/2020,19:00,4
14/01/2020,20:00,2
14/01/2020,21:00,1
15/01/2020,02:00,3
15/01/2020,03:00,1
15/01/2020,04:00,1
15/01/2020,05:00,1
15/01/2020,06:00,4
15/01/2020,07:00,18
15/01/2020,08:00,16
15/01/2020,09:00,19
15/01/2020,10:00,16
15/01/2020,12:00,5
15/01/2020,13:00,5
15/01/2020,14:00,6
15/01/2020,15:00,6
15/01/2020,16:00,1
15/01/2020,17:00,1
15/01/2020,18:00,2
15/01/2020,19:00,2
15/01/2020,20:00,1
15/01/2020,21:00,1
15/01/2020,22:00,11
15/01/2020,23:00,62
15/01/2020,24:00:00,93
16/01/2020,01:00,122
16/01/2020,02:00,158
16/01/2020,03:00,107
16/01/2020,04:00,183
16/01/2020,05:00,92
16/01/2020,06:00,77
16/01/2020,07:00,119
16/01/2020,08:00,67
16/01/2020,09:00,30
16/01/2020,10:00,14
16/01/2020,11:00,11
16/01/2020,12:00,6
16/01/2020,13:00,7
16/01/2020,14:00,9
16/01/2020,23:00,1
16/01/2020,24:00:00,12
17/01/2020,01:00,2
17/01/2020,02:00,0
17/01/2020,03:00,0
17/01/2020,04:00,1
17/01/2020,05:00,0
17/01/2020,06:00,1
17/01/2020,07:00,3
17/01/2020,08:00,5
17/01/2020,09:00,6
17/01/2020,10:00,5
17/01/2020,11:00,6
17/01/2020,12:00,4
17/01/2020,13:00,3
17/01/2020,14:00,3
17/01/2020,15:00,4
17/01/2020,16:00,5
17/01/2020,17:00,4
17/01/2020,18:00,4
17/01/2020,19:00,3
17/01/2020,20:00,2
17/01/2020,21:00,1
17/01/2020,22:00,1
17/01/2020,23:00,1
17/01/2020,24:00:00,1
18/01/2020,01:00,1
18/01/2020,02:00,1
18/01/2020,03:00,0
18/01/2020,04:00,2
18/01/2020,05:00,0
18/01/2020,06:00,1
18/01/2020,07:00,2
18/01/2020,08:00,5
18/01/2020,09:00,3
