Data,Hora,Med_Hor
14/01/2020,01:00,11
14/01/2020,02:00,8
14/01/2020,03:00,6
14/01/2020,04:00,7
14/01/2020,05:00,9
14/01/2020,06:00,17
14/01/2020,07:00,24
14/01/2020,08:00,31
14/01/2020,09:00,31
14/01/2020,10:00,22
14/01/2020,11:00,25
14/01/2020,12:00,31
14/01/2020,13:00,26
14/01/2020,18:00,37
14/01/2020,19:00,38
14/01/2020,20:00,38
14/01/2020,21:00,22
15/01/2020,02:00,13
15/01/2020,03:00,15
15/01/2020,04:00,17
15/01/2020,05:00,18
15/01/2020,06:00,23
15/01/2020,07:00,40
15/01/2020,08:00,40
15/01/2020,09:00,40
15/01/2020,10:00,43
15/01/2020,12:00,35
15/01/2020,13:00,32
15/01/2020,14:00,28
15/01/2020,15:00,30
15/01/2020,16:00,29
15/01/2020,17:00,27
15/01/2020,18:00,36
15/01/2020,19:00,47
15/01/2020,20:00,59
15/01/2020,21:00,68
15/01/2020,22:00,81
15/01/2020,23:00,95
15/01/2020,24:00:00,91
16/01/2020,01:00,82
16/01/2020,02:00,78
16/01/2020,03:00,64
16/01/2020,04:00,66
16/01/2020,05:00,54
16/01/2020,06:00,57
16/01/2020,07:00,63
16/01/2020,08:00,73
16/01/2020,09:00,61
16/01/2020,10:00,46
16/01/2020,11:00,39
16/01/2020,12:00,33
16/01/2020,13:00,31
16/01/2020,14:00,32
16/01/2020,23:00,20
16/01/2020,24:00:00,34
17/01/2020,01:00,25
17/01/2020,02:00,8
17/01/2020,03:00,8
17/01/2020,04:00,7
17/01/2020,05:00,6
17/01/2020,06:00,9
17/01/2020,07:00,19
17/01/2020,08:00,24
17/01/2020,09:00,23
17/01/2020,10:00,20
17/01/2020,11:00,22
17/01/2020,12:00,20
17/01/2020,13:00,18
17/01/2020,14:00,18
17/01/2020,15:00,21
17/01/2020,16:00,22
17/01/2020,17:00,22
17/01/2020,18:00,21
17/01/2020,19:00,23
17/01/2020,20:00,23
17/01/2020,21:00,19
17/01/2020,22:00,16
17/01/2020,23:00,16
17/01/2020,24:00:00,15
18/01/2020,01:00,18
18/01/2020,02:00,12
18/01/2020,03:00,11
18/01/2020,04:00,11
18/01/2020,05:00,10
18/01/2020,06:00,10
18/01/2020,07:00,14
18/01/2020,08:00,16
18/01/2020,09:00,17
18/01/2020,10:00,16
18/01/2020,11:00,14
18/01/2020,12:00,17
18/01/2020,13:00,15
18/01/2020,14:00,14
18/01/2020,15:00,18
18/01/2020,16:00,16
18/01/2020,17:00,16
18/01/2020,18:00,12
18/01/2020,19:00,14
18/01/2020,20:00,14
18/01/2020,21:00,15
18/01/2020,22:00,14
18/01/2020,23:00,17
18/01/2020,24:00:00,13
19/01/2020,01:00,15
19/01/2020,02:00,11
19/01/2020,03:00,10
19/01/2020,04:00,10
19/01/2020,05:00,9
19/01/2020,06:00,14
19/01/2020,07:00,14
19/01/2020,08:00,13
19/01/2020,09:00,14
19/01/2020,10:00,14
19/01/2020,11:00,11
19/01/2020,12:00,14
19/01/2020,13:00,13
19/01/2020,14:00,17
19/01/2020,15:00,15
19/01/2020,16:00,16
19/01/2020,17:00,15
19/01/2020,18:00,19
19/01/2020,19:00,19
19/01/2020,20:00,16
19/01/2020,21:00,9
19/01/2020,22:00,12
19/01/2020,23:00,14
19/01/2020,24:00:00,9
20/01/2020,01:00,9
20/01/2020,02:00,8
20/01/2020,03:00,7
20/01/2020,04:00,6
20/01/2020,05:00,8
20/01/2020,06:00,16
20/01/2020,07:00,22
20/01/2020,08:00,24
20/01/2020,09:00,24
20/01/2020,10:00,26
20/01/2020,11:00,23
20/01/2020,12:00,22
20/01/2020,13:00,24
20/01/2020,14:00,28
20/01/2020,15:00,27
20/01/2020,16:00,23
20/01/2020,17:00,25
20/01/2020,18:00,27
20/01/2020,19:00,29
20/01/2020,20:00,17
20/01/2020,21:00,17
20/01/2020,22:00,18
20/01/2020,23:00,17
20/01/2020,24:00:00,18
21/01/2020,01:00,18
21/01/2020,02:00,10
21/01/2020,03:00,9
21/01/2020,04:00,18
21/01/2020,05:00,19
21/01/2020,06:00,30
21/01/2020,07:00,28
21/01/2020,08:00,24
21/01/2020,09:00,28
21/01/2020,10:00,27
21/01/2020,11:00,35
21/01/2020,12:00,30
21/01/2020,13:00,26
21/01/2020,14:00,23
21/01/2020,15:00,24
21/01/2020,16:00,24
21/01/2020,17:00,21
21/01/2020,18:00,21
21/01/2020,19:00,30
21/01/2020,20:00,29
21/01/2020,21:00,23
21/01/2020,22:00,19
21/01/2020,23:00,17
21/01/2020,24:00:00,19
22/01/2020,01:00,23
22/01/2020,02:00,8
22/01/2020,03:00,6
22/01/2020,04:00,10
22/01/2020,05:00,9
22/01/2020,06:00,20
22/01/2020,07:00,29
22/01/2020,08:00,25
22/01/2020,09:00,30
22/01/2020,11:00,22
22/01/2020,13:00,14
22/01/2020,14:00,24
22/01/2020,15:00,25
22/01/2020,16:00,19
22/01/2020,17:00,20
22/01/2020,18:00,19
22/01/2020,19:00,15
22/01/2020,20:00,16
22/01/2020,21:00,12
22/01/2020,22:00,11
22/01/2020,23:00,16
22/01/2020,24:00:00,14
23/01/2020,01:00,11
23/01/2020,02:00,14
23/01/2020,03:00,11
23/01/2020,04:00,11
23/01/2020,05:00,12
23/01/2020,06:00,27
23/01/2020,07:00,36
23/01/2020,08:00,35
23/01/2020,09:00,39
23/01/2020,10:00,36
23/01/2020,11:00,40
23/01/2020,12:00,33
23/01/2020,13:00,40
23/01/2020,14:00,39
23/01/2020,15:00,40
23/01/2020,16:00,37
23/01/2020,18:00,0
23/01/2020,19:00,0
23/01/2020,20:00,0
23/01/2020,21:00,0
23/01/2020,22:00,0
23/01/2020,23:00,0
23/01/2020,24:00:00,0
24/01/2020,01:00,0
26/01/2020,03:00,27
26/01/2020,04:00,22
26/01/2020,05:00,20
26/01/2020,06:00,19
26/01/2020,07:00,21
26/01/2020,08:00,36
26/01/2020,09:00,45
26/01/2020,10:00,30
26/01/2020,11:00,19
26/01/2020,12:00,17
26/01/2020,13:00,16
26/01/2020,14:00,10
26/01/2020,15:00,10
26/01/2020,16:00,11
26/01/2020,17:00,10
26/01/2020,18:00,10
26/01/2020,19:00,14
26/01/2020,20:00,21
26/01/2020,21:00,27
26/01/2020,22:00,35
26/01/2020,23:00,36
26/01/2020,24:00:00,49
27/01/2020,01:00,44
27/01/2020,02:00,39
27/01/2020,03:00,37
27/01/2020,04:00,35
27/01/2020,05:00,36
27/01/2020,06:00,40
27/01/2020,07:00,45
27/01/2020,08:00,61
27/01/2020,09:00,55
27/01/2020,10:00,69
27/01/2020,12:00,27
27/01/2020,13:00,24
27/01/2020,14:00,29
27/01/2020,15:00,23
27/01/2020,16:00,29
27/01/2020,17:00,34
27/01/2020,18:00,38
27/01/2020,19:00,31
27/01/2020,20:00,40
27/01/2020,21:00,58
27/01/2020,22:00,79
27/01/2020,23:00,78
27/01/2020,24:00:00,70
28/01/2020,01:00,79
28/01/2020,02:00,75
28/01/2020,03:00,77
28/01/2020,04:00,73
28/01/2020,05:00,66
28/01/2020,06:00,70
28/01/2020,07:00,71
28/01/2020,08:00,95
28/01/2020,09:00,99
28/01/2020,10:00,65
28/01/2020,11:00,49
28/01/2020,12:00,31
28/01/2020,13:00,29
28/01/2020,14:00,35
28/01/2020,15:00,30
28/01/2020,16:00,26
28/01/2020,17:00,23
28/01/2020,18:00,28
28/01/2020,19:00,43
28/01/2020,20:00,43
28/01/2020,21:00,60
28/01/2020,22:00,55
28/01/2020,23:00,60
28/01/2020,24:00:00,54
29/01/2020,01:00,51
29/01/2020,02:00,36
29/01/2020,03:00,26
29/01/2020,04:00,24
29/01/2020,05:00,20
29/01/2020,06:00,38
29/01/2020,07:00,46
29/01/2020,08:00,49
29/01/2020,09:00,43
29/01/2020,10:00,33
29/01/2020,11:00,27
29/01/2020,12:00,27
29/01/2020,13:00,23
29/01/2020,14:00,31
29/01/2020,15:00,39
29/01/2020,16:00,33
29/01/2020,17:00,38
29/01/2020,18:00,40
29/01/2020,19:00,50
29/01/2020,20:00,43
29/01/2020,21:00,53
29/01/2020,22:00,40
29/01/2020,23:00,32
29/01/2020,24:00:00,23
30/01/2020,01:00,17
30/01/2020,02:00,32
30/01/2020,03:00,15
30/01/2020,04:00,14
30/01/2020,05:00,15
30/01/2020,06:00,21
30/01/2020,07:00,25
30/01/2020,08:00,28
30/01/2020,09:00,21
30/01/2020,10:00,25
30/01/2020,11:00,28
30/01/2020,12:00,25
30/01/2020,13:00,26
30/01/2020,14:00,30
30/01/2020,15:00,32
30/01/2020,16:00,31
30/01/2020,17:00,27
30/01/2020,18:00,37
30/01/2020,19:00,38
30/01/2020,20:00,41
30/01/2020,21:00,35
30/01/2020,22:00,22
30/01/2020,23:00,19
30/01/2020,24:00:00,18
31/01/2020,01:00,23
31/01/2020,02:00,21
31/01/2020,03:00,20
31/01/2020,04:00,16
31/01/2020,05:00,21
31/01/2020,06:00,30
31/01/2020,07:00,28
31/01/2020,08:00,31
31/01/2020,09:00,25
31/01/2020,10:00,28
31/01/2020,11:00,26
31/01/2020,12:00,22
31/01/2020,13:00,24
31/01/2020,14:00,25
31/01/2020,15:00,28
31/01/2020,16:00,25
31/01/2020,17:00,22
31/01/2020,18:00,27
31/01/2020,19:00,39
31/01/2020,20:00,29
31/01/2020,21:00,39
31/01/2020,22:00,37
31/01/2020,23:00,39
31/01/2020,24:00:00,36
01/02/2020,01:00,22
01/02/2020,02:00,30
01/02/2020,03:00,25
01/02/2020,04:00,15
01/02/2020,05:00,21
01/02/2020,06:00,23
01/02/2020,07:00,24
01/02/2020,08:00,27
01/02/2020,09:00,27
01/02/2020,10:00,27
01/02/2020,11:00,24
01/02/2020,12:00,20
01/02/2020,13:00,19
01/02/2020,14:00,19
01/02/2020,15:00,24
01/02/2020,21:00,16
01/02/2020,22:00,25
01/02/2020,23:00,31
01/02/2020,24:00:00,37
02/02/2020,01:00,39
02/02/2020,02:00,37
02/02/2020,03:00,33
02/02/2020,04:00,28
02/02/2020,05:00,32
02/02/2020,06:00,35
02/02/2020,07:00,30
02/02/2020,08:00,28
02/02/2020,09:00,23
02/02/2020,10:00,20
02/02/2020,11:00,22
02/02/2020,12:00,20
02/02/2020,13:00,20
02/02/2020,14:00,19
02/02/2020,15:00,18
02/02/2020,16:00,13
02/02/2020,17:00,13
02/02/2020,18:00,20
02/02/2020,19:00,20
02/02/2020,20:00,27
02/02/2020,21:00,24
02/02/2020,22:00,16
02/02/2020,23:00,15
02/02/2020,24:00:00,21
03/02/2020,01:00,21
03/02/2020,02:00,17
03/02/2020,03:00,11
03/02/2020,04:00,13
03/02/2020,05:00,11
03/02/2020,06:00,25
03/02/2020,07:00,34
03/02/2020,08:00,38
03/02/2020,09:00,33
03/02/2020,10:00,40
03/02/2020,11:00,43
03/02/2020,12:00,36
03/02/2020,13:00,50
03/02/2020,14:00,39
03/02/2020,15:00,31
03/02/2020,16:00,28
03/02/2020,17:00,26
03/02/2020,18:00,29
03/02/2020,19:00,39
03/02/2020,20:00,26
03/02/2020,21:00,21
03/02/2020,22:00,29
03/02/2020,23:00,40
03/02/2020,24:00:00,37
04/02/2020,01:00,18
04/02/2020,02:00,17
04/02/2020,03:00,13
04/02/2020,04:00,17
04/02/2020,05:00,19
04/02/2020,06:00,30
04/02/2020,07:00,41
04/02/2020,08:00,41
04/02/2020,09:00,42
04/02/2020,10:00,45
04/02/2020,11:00,46
04/02/2020,12:00,61
04/02/2020,13:00,43
04/02/2020,14:00,38
04/02/2020,15:00,24
04/02/2020,16:00,23
04/02/2020,17:00,20
04/02/2020,18:00,20
04/02/2020,19:00,30
04/02/2020,20:00,33
04/02/2020,21:00,28
04/02/2020,22:00,30
04/02/2020,23:00,37
04/02/2020,24:00:00,39
05/02/2020,01:00,35
05/02/2020,02:00,25
05/02/2020,03:00,22
05/02/2020,04:00,18
05/02/2020,05:00,24
05/02/2020,06:00,32
05/02/2020,07:00,31
05/02/2020,08:00,33
05/02/2020,09:00,37
05/02/2020,10:00,46
05/02/2020,11:00,44
05/02/2020,12:00,31
05/02/2020,13:00,30
05/02/2020,14:00,39
05/02/2020,15:00,48
05/02/2020,16:00,46
05/02/2020,17:00,32
05/02/2020,18:00,37
05/02/2020,19:00,39
05/02/2020,20:00,33
05/02/2020,21:00,40
05/02/2020,22:00,33
05/02/2020,23:00,30
05/02/2020,24:00:00,24
06/02/2020,01:00,21
06/02/2020,02:00,19
06/02/2020,03:00,19
06/02/2020,04:00,16
06/02/2020,05:00,19
06/02/2020,06:00,28
06/02/2020,07:00,33
06/02/2020,08:00,39
06/02/2020,09:00,42
06/02/2020,10:00,43
06/02/2020,11:00,39
06/02/2020,12:00,40
06/02/2020,13:00,54
06/02/2020,14:00,41
06/02/2020,15:00,32
06/02/2020,16:00,41
06/02/2020,17:00,58
06/02/2020,18:00,52
06/02/2020,19:00,59
06/02/2020,20:00,60
06/02/2020,21:00,57
06/02/2020,22:00,46
06/02/2020,23:00,43
06/02/2020,24:00:00,38
07/02/2020,01:00,31
07/02/2020,02:00,17
07/02/2020,03:00,13
07/02/2020,04:00,21
07/02/2020,05:00,17
07/02/2020,06:00,20
07/02/2020,07:00,27
07/02/2020,08:00,33
07/02/2020,09:00,33
07/02/2020,10:00,36
07/02/2020,11:00,29
07/02/2020,12:00,26
07/02/2020,13:00,26
07/02/2020,14:00,33
07/02/2020,15:00,37
07/02/2020,16:00,53
07/02/2020,17:00,47
07/02/2020,18:00,72
07/02/2020,19:00,64
07/02/2020,20:00,55
07/02/2020,21:00,48
07/02/2020,22:00,41
07/02/2020,23:00,45
07/02/2020,24:00:00,33
08/02/2020,01:00,34
08/02/2020,02:00,31
08/02/2020,03:00,19
08/02/2020,04:00,22
08/02/2020,05:00,23
08/02/2020,07:00,25
08/02/2020,08:00,30
08/02/2020,09:00,31
08/02/2020,10:00,25
08/02/2020,11:00,15
08/02/2020,12:00,12
08/02/2020,13:00,14
08/02/2020,14:00,15
08/02/2020,15:00,12
08/02/2020,16:00,20
08/02/2020,17:00,19
08/02/2020,18:00,26
08/02/2020,19:00,32
08/02/2020,20:00,46
08/02/2020,21:00,59
08/02/2020,22:00,56
08/02/2020,23:00,53
08/02/2020,24:00:00,53
09/02/2020,01:00,50
09/02/2020,02:00,42
09/02/2020,03:00,35
09/02/2020,04:00,29
09/02/2020,05:00,21
09/02/2020,06:00,13
09/02/2020,07:00,15
09/02/2020,08:00,12
09/02/2020,09:00,6
09/02/2020,10:00,5
09/02/2020,11:00,5
09/02/2020,12:00,5
09/02/2020,13:00,7
09/02/2020,14:00,8
09/02/2020,15:00,10
09/02/2020,16:00,10
09/02/2020,17:00,9
09/02/2020,18:00,13
09/02/2020,19:00,18
09/02/2020,20:00,13
09/02/2020,21:00,12
09/02/2020,22:00,13
09/02/2020,23:00,17
09/02/2020,24:00:00,17
10/02/2020,01:00,11
10/02/2020,02:00,17
10/02/2020,03:00,9
10/02/2020,04:00,12
10/02/2020,05:00,23
10/02/2020,06:00,36
10/02/2020,09:00,34
10/02/2020,10:00,33
10/02/2020,11:00,32
10/02/2020,12:00,30
10/02/2020,13:00,34
10/02/2020,14:00,33
10/02/2020,15:00,30
10/02/2020,16:00,22
10/02/2020,17:00,20
10/02/2020,18:00,25
10/02/2020,19:00,32
10/02/2020,20:00,27
10/02/2020,21:00,23
10/02/2020,22:00,18
10/02/2020,23:00,17
10/02/2020,24:00:00,21
11/02/2020,01:00,16
11/02/2020,02:00,15
11/02/2020,03:00,12
11/02/2020,04:00,12
11/02/2020,05:00,10
11/02/2020,06:00,17
11/02/2020,07:00,29
11/02/2020,08:00,35
11/02/2020,09:00,34
11/02/2020,10:00,34
11/02/2020,11:00,34
11/02/2020,12:00,27
11/02/2020,13:00,27
11/02/2020,14:00,17
11/02/2020,15:00,17
11/02/2020,16:00,18
11/02/2020,17:00,18
11/02/2020,18:00,23
11/02/2020,19:00,30
11/02/2020,20:00,31
11/02/2020,21:00,16
11/02/2020,22:00,16
11/02/2020,23:00,17
11/02/2020,24:00:00,15
12/02/2020,01:00,14
12/02/2020,02:00,9
12/02/2020,03:00,8
12/02/2020,04:00,10
12/02/2020,05:00,10
12/02/2020,06:00,15
12/02/2020,07:00,22
12/02/2020,08:00,28
12/02/2020,09:00,27
12/02/2020,10:00,24
12/02/2020,11:00,20
12/02/2020,12:00,23
12/02/2020,13:00,29
12/02/2020,14:00,33
12/02/2020,15:00,31
12/02/2020,16:00,26
12/02/2020,17:00,27
12/02/2020,18:00,28
12/02/2020,19:00,34
12/02/2020,20:00,28
12/02/2020,21:00,27
12/02/2020,22:00,24
12/02/2020,23:00,23
12/02/2020,24:00:00,25
13/02/2020,01:00,21
13/02/2020,02:00,17
13/02/2020,03:00,13
13/02/2020,04:00,14
13/02/2020,05:00,14
13/02/2020,06:00,23
13/02/2020,07:00,27
13/02/2020,08:00,33
13/02/2020,09:00,34
13/02/2020,10:00,36
13/02/2020,11:00,30
13/02/2020,12:00,26
13/02/2020,13:00,22
13/02/2020,14:00,23
13/02/2020,15:00,22
13/02/2020,16:00,22
13/02/2020,17:00,16
13/02/2020,18:00,20
13/02/2020,19:00,21
13/02/2020,20:00,28
13/02/2020,21:00,25
13/02/2020,22:00,23
13/02/2020,23:00,22
13/02/2020,24:00:00,18
14/02/2020,01:00,20
14/02/2020,02:00,13
14/02/2020,03:00,11
14/02/2020,04:00,14
14/02/2020,05:00,12
14/02/2020,06:00,30
14/02/2020,07:00,36
14/02/2020,08:00,35
14/02/2020,09:00,37
14/02/2020,10:00,43
14/02/2020,11:00,39
14/02/2020,12:00,41
14/02/2020,13:00,37
14/02/2020,14:00,33
14/02/2020,15:00,35
14/02/2020,16:00,33
14/02/2020,17:00,31
14/02/2020,18:00,32
14/02/2020,19:00,32
14/02/2020,20:00,31
14/02/2020,21:00,29
14/02/2020,22:00,27
14/02/2020,23:00,23
14/02/2020,24:00:00,20
15/02/2020,01:00,27
15/02/2020,02:00,31
15/02/2020,03:00,26
15/02/2020,04:00,27
15/02/2020,05:00,28
15/02/2020,06:00,30
15/02/2020,07:00,28
15/02/2020,08:00,23
15/02/2020,09:00,36
15/02/2020,10:00,34
15/02/2020,11:00,30
15/02/2020,12:00,26
15/02/2020,13:00,23
15/02/2020,14:00,21
15/02/2020,15:00,21
15/02/2020,16:00,22
15/02/2020,17:00,17
15/02/2020,18:00,16
15/02/2020,19:00,22
15/02/2020,20:00,23
15/02/2020,21:00,33
15/02/2020,22:00,40
15/02/2020,23:00,56
15/02/2020,24:00:00,62
16/02/2020,01:00,62
16/02/2020,02:00,54
16/02/2020,03:00,48
16/02/2020,04:00,43
16/02/2020,05:00,38
16/02/2020,06:00,33
16/02/2020,07:00,31
16/02/2020,08:00,26
16/02/2020,09:00,23
16/02/2020,10:00,20
16/02/2020,11:00,18
16/02/2020,12:00,15
16/02/2020,13:00,16
16/02/2020,14:00,19
16/02/2020,15:00,14
16/02/2020,16:00,17
16/02/2020,17:00,21
